x,y
23.0,58989.64444444444
24.0,59119.933333333334
25.0,59160.62222222222
26.0,59097.4
27.0,58928.2
28.0,58684.4
29.0,58380.77777777778
30.0,58043.08888888889
31.0,57687.444444444445
32.0,57335.91111111111
33.0,56993.73333333333
34.0,56676.86666666667
35.0,56378.62222222222
36.0,56103.444444444445
37.0,55848.0
38.0,55609.26666666667
39.0,55377.2
40.0,55153.2
41.0,54927.37777777778
42.0,54705.22222222222
43.0,54475.933333333334
44.0,54232.84444444445
45.0,53978.75555555556
46.0,53719.26666666667
47.0,53453.0
48.0,53168.73333333333
49.0,52876.044444444444
50.0,52570.51111111111
51.0,52238.91111111111
52.0,51879.555555555555
53.0,51480.64444444444
54.0,51014.6
55.0,50484.77777777778
56.0,49868.26666666667
57.0,49186.64444444444
58.0,48450.42222222222
59.0,47688.0
60.0,46919.666666666664
61.0,46161.15555555555
62.0,45429.97777777778
63.0,44730.2
64.0,44080.35555555556
65.0,43471.444444444445
66.0,42912.46666666667
67.0,42389.24444444444
68.0,41910.15555555555
69.0,41463.4
70.0,41049.64444444444
71.0,40664.688888888886
72.0,40310.0
73.0,39980.08888888889
74.0,39687.311111111114
75.0,39440.02222222222
76.0,39241.46666666667
77.0,39113.35555555556
78.0,39072.13333333333
79.0,39119.6
80.0,39270.42222222222
81.0,39525.57777777778
82.0,39862.688888888886
83.0,40285.822222222225
84.0,40753.333333333336
85.0,41262.11111111111
86.0,41787.444444444445
87.0,42307.51111111111
88.0,42811.933333333334
89.0,43288.51111111111
90.0,43740.53333333333
91.0,44151.24444444444
92.0,44531.555555555555
93.0,44875.62222222222
94.0,45192.91111111111
95.0,45488.311111111114
96.0,45765.86666666667
97.0,46032.555555555555
98.0,46295.48888888889
99.0,46559.4
100.0,46821.688888888886
101.0,47093.75555555556
102.0,47375.0
103.0,47664.955555555556
104.0,47965.444444444445
105.0,48285.044444444444
106.0,48625.02222222222
107.0,48989.97777777778
108.0,49389.37777777778
109.0,49842.77777777778
110.0,50362.62222222222
111.0,50955.6
112.0,51633.666666666664
113.0,52380.75555555556
114.0,53175.333333333336
115.0,54011.02222222222
116.0,54856.311111111114
117.0,55707.4
118.0,56551.02222222222
119.0,57376.15555555555
120.0,58163.177777777775
121.0,58879.35555555556
122.0,59498.822222222225
123.0,59992.77777777778
124.0,60356.333333333336
125.0,60565.933333333334
126.0,60622.73333333333
127.0,60555.71111111111
128.0,60359.555555555555
129.0,60075.6
130.0,59718.822222222225
131.0,59309.8
132.0,58875.555555555555
133.0,58426.42222222222
134.0,57978.37777777778
135.0,57530.8
136.0,57100.822222222225
137.0,56680.044444444444
138.0,56278.555555555555
139.0,55888.02222222222
140.0,55502.62222222222
141.0,55123.57777777778
142.0,54746.35555555556
143.0,54367.08888888889
144.0,53980.35555555556
145.0,53587.688888888886
146.0,53182.6
147.0,52766.311111111114
148.0,52332.37777777778
149.0,51882.11111111111
150.0,51411.75555555556
151.0,50922.555555555555
152.0,50412.37777777778
153.0,49871.46666666667
154.0,49282.02222222222
155.0,48637.75555555556
156.0,47934.91111111111
157.0,47168.333333333336
158.0,46346.97777777778
159.0,45497.46666666667
160.0,44629.311111111114
161.0,43777.24444444444
162.0,42938.933333333334
163.0,42122.13333333333
164.0,41336.26666666667
165.0,40593.15555555555
166.0,39914.666666666664
167.0,39304.044444444444
168.0,38775.22222222222
169.0,38333.24444444444
170.0,37983.11111111111
171.0,37732.37777777778
172.0,37583.666666666664
173.0,37552.688888888886
174.0,37646.88888888889
175.0,37870.8
176.0,38239.08888888889
177.0,38740.88888888889
178.0,39353.666666666664
179.0,40041.311111111114
180.0,40755.4
181.0,41471.77777777778
182.0,42169.53333333333
183.0,42840.37777777778
184.0,43484.48888888889
185.0,44106.066666666666
186.0,44720.2
187.0,45337.91111111111
188.0,45986.48888888889
189.0,46686.933333333334
190.0,47449.42222222222
191.0,48263.75555555556
192.0,49109.444444444445
193.0,49968.4
194.0,50824.53333333333
195.0,51664.77777777778
196.0,52467.86666666667
197.0,53229.4
198.0,53960.71111111111
199.0,54655.688888888886
200.0,55315.177777777775
201.0,55947.8
202.0,56568.955555555556
203.0,57178.044444444444
204.0,57786.37777777778
205.0,58390.08888888889
206.0,58988.666666666664
207.0,59588.24444444444
208.0,60179.71111111111
209.0,60758.84444444445
210.0,61324.555555555555
211.0,61880.26666666667
212.0,62430.88888888889
213.0,62985.53333333333
214.0,63551.51111111111
215.0,64146.311111111114
216.0,64763.666666666664
217.0,65395.42222222222
218.0,66004.35555555555
219.0,66566.08888888889
220.0,67043.24444444444
221.0,67409.4
222.0,67653.51111111112
223.0,67797.51111111112
224.0,67859.95555555556
225.0,67862.37777777777
226.0,67819.26666666666
227.0,67726.57777777778
228.0,67595.24444444444
229.0,67419.0
230.0,67213.11111111111
231.0,66965.95555555556
232.0,66668.0
233.0,66291.64444444445
234.0,65829.88888888889
235.0,65265.35555555556
236.0,64620.8
237.0,63915.77777777778
238.0,63179.35555555556
239.0,62430.13333333333
240.0,61682.666666666664
241.0,60956.955555555556
242.0,60258.044444444444
243.0,59574.2
244.0,58920.35555555556
245.0,58294.333333333336
246.0,57685.08888888889
247.0,57079.84444444445
248.0,56481.15555555555
249.0,55879.22222222222
250.0,55275.75555555556
251.0,54661.88888888889
252.0,54035.24444444444
253.0,53403.02222222222
254.0,52768.666666666664
255.0,52130.8
256.0,51487.444444444445
257.0,50830.444444444445
258.0,50147.57777777778
259.0,49421.77777777778
260.0,48649.11111111111
261.0,47821.311111111114
262.0,46939.53333333333
263.0,46030.24444444444
